chemin du fichier, nom du paquet, nom de la classe, tloc de la classe, tassert de la classe, tcmp
.\java\org\jfree\data\time\TimeSeriesCollectionTest.java, org.jfree.data.time, TimeSeriesCollectionTest.java, 307, 80, 3.8375
.\java\org\jfree\data\time\TimeSeriesDataItemTest.java, org.jfree.data.time, TimeSeriesDataItemTest.java, 32, 6, 5.333333333333333
.\java\org\jfree\data\time\TimeSeriesTest.java, org.jfree.data.time, TimeSeriesTest.java, 786, 219, 3.589041095890411
.\java\org\jfree\data\time\TimeTableXYDatasetTest.java, org.jfree.data.time, TimeTableXYDatasetTest.java, 85, 26, 3.269230769230769
.\java\org\jfree\data\time\WeekTest.java, org.jfree.data.time, WeekTest.java, 460, 71, 6.47887323943662
.\java\org\jfree\data\time\YearTest.java, org.jfree.data.time, YearTest.java, 328, 47, 6.9787234042553195
.\java\org\jfree\data\xy\CategoryTableXYDatasetTest.java, org.jfree.data.xy, CategoryTableXYDatasetTest.java, 101, 38, 2.6578947368421053
.\java\org\jfree\data\xy\DefaultHighLowDatasetTest.java, org.jfree.data.xy, DefaultHighLowDatasetTest.java, 111, 21, 5.285714285714286
.\java\org\jfree\data\xy\DefaultIntervalXYDatasetTest.java, org.jfree.data.xy, DefaultIntervalXYDatasetTest.java, 218, 71, 3.0704225352112675
.\java\org\jfree\data\xy\DefaultOHLCDatasetTest.java, org.jfree.data.xy, DefaultOHLCDatasetTest.java, 78, 17, 4.588235294117647
.\java\org\jfree\data\xy\DefaultTableXYDatasetTest.java, org.jfree.data.xy, DefaultTableXYDatasetTest.java, 111, 31, 3.5806451612903225
.\java\org\jfree\data\xy\DefaultWindDatasetTest.java, org.jfree.data.xy, DefaultWindDatasetTest.java, 91, 21, 4.333333333333333
.\java\org\jfree\data\xy\DefaultXYDatasetTest.java, org.jfree.data.xy, DefaultXYDatasetTest.java, 123, 28, 4.392857142857143
.\java\org\jfree\data\xy\DefaultXYZDatasetTest.java, org.jfree.data.xy, DefaultXYZDatasetTest.java, 129, 28, 4.607142857142857
.\java\org\jfree\data\xy\IntervalXYDelegateTest.java, org.jfree.data.xy, IntervalXYDelegateTest.java, 56, 12, 4.666666666666667
.\java\org\jfree\data\xy\MatrixSeriesCollectionTest.java, org.jfree.data.xy, MatrixSeriesCollectionTest.java, 52, 10, 5.2
.\java\org\jfree\data\xy\MatrixSeriesTest.java, org.jfree.data.xy, MatrixSeriesTest.java, 88, 32, 2.75
.\java\org\jfree\data\xy\OHLCDataItemTest.java, org.jfree.data.xy, OHLCDataItemTest.java, 27, 4, 6.75
.\java\org\jfree\data\xy\TableXYDatasetTest.java, org.jfree.data.xy, TableXYDatasetTest.java, 139, 34, 4.088235294117647
.\java\org\jfree\data\xy\VectorDataItemTest.java, org.jfree.data.xy, VectorDataItemTest.java, 53, 16, 3.3125
.\java\org\jfree\data\xy\VectorSeriesCollectionTest.java, org.jfree.data.xy, VectorSeriesCollectionTest.java, 80, 21, 3.8095238095238093
.\java\org\jfree\data\xy\VectorSeriesTest.java, org.jfree.data.xy, VectorSeriesTest.java, 160, 48, 3.3333333333333335
.\java\org\jfree\data\xy\VectorTest.java, org.jfree.data.xy, VectorTest.java, 41, 10, 4.1
.\java\org\jfree\data\xy\XIntervalDataItemTest.java, org.jfree.data.xy, XIntervalDataItemTest.java, 53, 18, 2.9444444444444446
.\java\org\jfree\data\xy\XIntervalSeriesCollectionTest.java, org.jfree.data.xy, XIntervalSeriesCollectionTest.java, 100, 18, 5.555555555555555
.\java\org\jfree\data\xy\XIntervalSeriesTest.java, org.jfree.data.xy, XIntervalSeriesTest.java, 174, 51, 3.411764705882353
.\java\org\jfree\data\xy\XYBarDatasetTest.java, org.jfree.data.xy, XYBarDatasetTest.java, 65, 9, 7.222222222222222
.\java\org\jfree\data\xy\XYCoordinateTest.java, org.jfree.data.xy, XYCoordinateTest.java, 41, 10, 4.1
.\java\org\jfree\data\xy\XYDataItemTest.java, org.jfree.data.xy, XYDataItemTest.java, 32, 8, 4.0
.\java\org\jfree\data\xy\XYIntervalDataItemTest.java, org.jfree.data.xy, XYIntervalDataItemTest.java, 68, 24, 2.8333333333333335
.\java\org\jfree\data\xy\XYIntervalSeriesCollectionTest.java, org.jfree.data.xy, XYIntervalSeriesCollectionTest.java, 95, 18, 5.277777777777778
.\java\org\jfree\data\xy\XYIntervalSeriesTest.java, org.jfree.data.xy, XYIntervalSeriesTest.java, 169, 53, 3.188679245283019
.\java\org\jfree\data\xy\XYIntervalTest.java, org.jfree.data.xy, XYIntervalTest.java, 43, 13, 3.3076923076923075
.\java\org\jfree\data\xy\XYSeriesCollectionTest.java, org.jfree.data.xy, XYSeriesCollectionTest.java, 313, 102, 3.0686274509803924
.\java\org\jfree\data\xy\XYSeriesTest.java, org.jfree.data.xy, XYSeriesTest.java, 512, 188, 2.723404255319149
.\java\org\jfree\data\xy\YIntervalDataItemTest.java, org.jfree.data.xy, YIntervalDataItemTest.java, 53, 18, 2.9444444444444446
.\java\org\jfree\data\xy\YIntervalSeriesCollectionTest.java, org.jfree.data.xy, YIntervalSeriesCollectionTest.java, 89, 14, 6.357142857142857
.\java\org\jfree\data\xy\YIntervalSeriesTest.java, org.jfree.data.xy, YIntervalSeriesTest.java, 158, 47, 3.3617021276595747
.\java\org\jfree\data\xy\YIntervalTest.java, org.jfree.data.xy, YIntervalTest.java, 35, 9, 3.888888888888889
.\java\org\jfree\data\xy\YWithXIntervalTest.java, org.jfree.data.xy, YWithXIntervalTest.java, 35, 9, 3.888888888888889
